"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"12696","621.904117105","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","42327","1883","7b276d657373616765273a202747416a79437a634c51714634396275303271706c53314dâ\200\246","","Publish Message [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
"12698","621.915492639","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","42327","1883","","170","Publish Ack (id=170)"
"12705","622.141337719","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","48961","7b276d657373616765273a20275947656365794e7535703075664758744150316e334a67â\200\246","177","Publish Message (id=177) [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"12706","622.152843539","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","48961","1883","7b276d657373616765273a20275947656365794e7535703075664758744150316e334a67â\200\246","","Publish Message [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"12708","622.164593282","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","48961","1883","","177","Publish Ack (id=177)"
"12710","622.359278604","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","33099","7b276d657373616765273a20276e36514a4846714c4d46614d7258386847445077466944â\200\246","162","Publish Message (id=162) [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"12711","622.371829745","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","33099","1883","7b276d657373616765273a20276e36514a4846714c4d46614d7258386847445077466944â\200\246","","Publish Message [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"12713","622.383651494","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","33099","1883","","162","Publish Ack (id=162)"
"12715","622.676608692","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","46033","7b276d657373616765273a2027545951356246646646457a517736623431767a78697141â\200\246","175","Publish Message (id=175) [devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90]"
"12716","622.687881481","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","46033","1883","7b276d657373616765273a2027545951356246646646457a517736623431767a78697141â\200\246","","Publish Message [devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90]"
"12718","622.699589945","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","46033","1883","","175","Publish Ack (id=175)"
"12725","623.439719836","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","33099","7b276d657373616765273a202741356756744a584b3451326a5a46375a37393339384134â\200\246","163","Publish Message (id=163) [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"12726","623.451749569","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","33099","1883","7b276d657373616765273a202741356756744a584b3451326a5a46375a37393339384134â\200\246","","Publish Message [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"12728","623.463528948","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","33099","1883","","163","Publish Ack (id=163)"
"12730","623.719998474","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","59005","7b276d657373616765273a20276553694b6d70326d4648366c66394b7649723353555938â\200\246","163","Publish Message (id=163) [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"12731","623.732244538","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","59005","1883","7b276d657373616765273a20276553694b6d70326d4648366c66394b7649723353555938â\200\246","","Publish Message [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"12733","623.744107705","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","59005","1883","","163","Publish Ack (id=163)"
"12740","624.622719461","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","42327","7b276d657373616765273a20274859327a3572643666374c6d486d4e4271564d7251416fâ\200\246","171","Publish Message (id=171) [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
"12741","624.635983672","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","42327","1883","7b276d657373616765273a20274859327a3572643666374c6d486d4e4271564d7251416fâ\200\246","","Publish Message [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
"12743","624.636092348","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","48961","7b276d657373616765273a202743666a72344156346673614c514e366c6d42654a733539â\200\246","178","Publish Message (id=178) [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"12744","624.647399132","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","42327","1883","","171","Publish Ack (id=171)"
"12746","624.648540905","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","48961","1883","7b276d657373616765273a202743666a72344156346673614c514e366c6d42654a733539â\200\246","","Publish Message [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"12748","624.660436174","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","48961","1883","","178","Publish Ack (id=178)"
"12777","625.747640042","192.168.15.2","45.179.91.194","MQTT","68","Ping Request","1883","59005","","","Ping Request"
"12778","625.753277274","192.168.15.2","45.179.91.194","MQTT","68","Ping Request","1883","43243","","","Ping Request"
"12779","625.760302234","45.179.91.194","192.168.15.2","MQTT","68","Ping Response","59005","1883","","","Ping Response"
"12781","625.763519389","45.179.91.194","192.168.15.2","MQTT","68","Ping Response","43243","1883","","","Ping Response"
"12783","626.113761309","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","39299","7b276d657373616765273a202778456771663254485a6f324a4132714838744941556d53â\200\246","175","Publish Message (id=175) [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12784","626.124124285","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","39299","1883","7b276d657373616765273a202778456771663254485a6f324a4132714838744941556d53â\200\246","","Publish Message [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"12786","626.135460944","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","39299","1883","","175","Publish Ack (id=175)"
"12788","626.279347610","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","36811","7b276d657373616765273a20276143726b67374a434250613179695a43726c325548716aâ\200\246","177","Publish Message (id=177) [devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496]"
